param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
20.11.2017_17:29:31	369.641815185547	2.5260578918457		1.80039138943249	2.40704500978474	0.0765027322404369	0	1	37.5733871459961	6.10567514677104	
20.11.2017_17:29:32	369.641815185547	2.5260578918457		1.80039138943249	2.41682974559687	0.0706521739130436	0	1	37.4755363464355	6.1252446183953		
20.11.2017_17:29:34	369.641815185547	2.5260578918457		1.80039138943249	2.40704500978474	0.0681198910081753	0	1	37.4755363464355	6.1252446183953		
20.11.2017_17:29:35	369.641815185547	2.5260578918457		1.80039138943249	2.40704500978474	0.0681198910081753	0	1	37.3776893615723	6.10567514677104	
20.11.2017_17:29:36	369.641815185547	2.5260578918457		1.80039138943249	2.40704500978474	0.0626702997275217	0	1	37.3776893615723	6.1252446183953		
20.11.2017_17:29:38	369.641815185547	2.5260578918457		1.80039138943249	2.426614481409		0.0540540540540536	0	1	37.6712341308594	6.16438356164384	
20.11.2017_17:29:39	369.742370605469	2.5260578918457		1.80039138943249	2.426614481409		0.0540540540540536	0	1	37.3776893615723	6.16438356164384	
20.11.2017_17:29:40	369.742370605469	2.5260578918457		1.80039138943249	2.43639921722114	0.0432432432432421	0	1	37.279842376709		6.16438356164384	
20.11.2017_17:29:42	369.742370605469	2.5260578918457		1.80039138943249	2.426614481409		0.0432432432432421	0	1	37.0841484069824	6.16438356164384	
20.11.2017_17:29:43	369.742370605469	2.5260578918457		1.80039138943249	2.426614481409		0.0326086956521734	0	1	37.3776893615723	6.14481409001957	
20.11.2017_17:29:44	369.742370605469	2.5260578918457		1.80039138943249	2.426614481409		0.0270270270270282	0	1	37.5733871459961	6.16438356164384	
20.11.2017_17:29:46	369.742370605469	2.5260578918457		1.81996086105675	2.43639921722114	0.0215053763440861	0	1	37.3776893615723	6.1839530332681		
20.11.2017_17:29:47	369.843597412109	2.5260578918457		1.81996086105675	2.43639921722114	0.0161290322580649	0	1	37.3776893615723	6.20352250489237	
20.11.2017_17:29:49	369.843597412109	2.5260578918457		1.81996086105675	2.426614481409		0.0134770889487869	0	1	37.1819953918457	6.1839530332681		
20.11.2017_17:29:50	369.843597412109	2.5260578918457		1.81996086105675	2.43639921722114	0.0080862533692724	0	1	37.0841484069824	6.1839530332681		
